DSTC10TOPICAL-000000	Hmm I am not sure of that. He went to college for it?	Nope he just attended drama class in high school because that is where the pretty girls went	Hahaha the guy really knew what he was after even that early	Yes, he did. He was a good sport about it, but I felt bad for him.
DSTC10TOPICAL-003131	Did you know that Hugh Jackman once walked around comic con in his full wolverine costume and no one even noticed him?	haha I didn't know that. That's pretty cool! Sean Bean is so scared of flying that he hiked into location in full costume when filming the Lord of the Rings.	wow that is crazy.. There is a great pianist on tv right now - do you play?	I would love to learn :)
DSTC10TOPICAL-003132	I didnt know that, I wonder if players are ok with that, chips can gather all kinds of info and it can be a bit invasive	Well I think it is only during games so they can get velocity and rotation and such. They must be okay with it since they are keeping them in their pads	Oh I see, so this only applies to games, a thing I dont like about the game is that a lot of the times is wasted on ads, theres only a total of 11 minutes of live play	Are you sure I could check the app
DSTC10TOPICAL-003133	That is pretty cool that there is no written rule against them and hope to see them in the field soon	Yeah I hope so too. Did you know engineers make more int heir lifetime?	Yeah and I wonder if that fact that they have longer careers has anything to do with that	And engineers are hired in many fields. Did you know they can be in any field?
DSTC10TOPICAL-003134	Ok, yes. It could. I'm not advocating that women. play. In fact, they'd be better off as engineers probably. The average lifetime earnings of an engineer is higher than the average lifetime earnings of an NFL player.	Probably due to injury related early retirement	True. Engineers have fewer concussions.	Also, engineers' brains rarely explode
DSTC10TOPICAL-003135	There's a lot of money in European soccer. I guess it helps to diversity across sports and locations.	Yes, I imagine.	Soccer seems to be a game that's more fun to play than watch. I understand the appeal in countries where people grow up playing it. Recently some American got signed to a European team for a ton of cash. Maybe	You are correct. It was Christian Pulisic!
DSTC10TOPICAL-003136	Oh I see, interesting, and yeah, I see your point that definitely sells movies or at least creates interest in them.	The fact that he was so well-known and considered a comic legend just shows how effective he was at those spots. Before Iron Man was released in 2008, many people didn't even realize comics were still being published.	I can imagine after all the whole Marvel franchise is live because of him and will keep on living long after his death.	Well Tony Stark has been appealing to audiences for years. And even now after many years of exposure, his charm and wit is still able to charm moviegoers.
DSTC10TOPICAL-003137	That's interesting, the evolutionary things are so cool, I get the hiccups a lot too.	Haha I think I have the right now. I'm just glad though that Scotland passed a lot to protect the Loch Ness monster back in 1912 just in case it exists lol	That's funny, I'd definitely be a lawyer in Switzerland to represent the animals, love them!	Always on my mind, but that's pretty cool, what happens to those paychecks?
DSTC10TOPICAL-003138	You are kind of right, but definitely something underneath is going on with him.	I guess, maybe I don't think it's the big of deal to be upset as long as you acknowledge that it was wrong. A bit of anger can be healthy.	And I have to admit that the reporter was pushing him a little bit.	Yes, that's true.
DSTC10TOPICAL-003139	I think it is a good platform for that by the way.	Not everyone does though. Burger King had a promotions that you got a free whopper if you unfriend 10 people. I wonder what inspired that.	I think that Burger King was just looking for media attention which they got.	I heard that Burger King was thinking about doing a promotion. They were going to give out free whoppers if the government shutdown continues for 14 days. But we might not even get to see that because they went and worked it out.
DSTC10TOPICAL-003140	Yes I actually have a DIY project in my home right now. Im watching YouTube to complete it.	It is such a great thing. There is actually NOTHING I have tried to look up that I didn't find!	I know, there is a ton of info available, even material from corporations like CBS and BBC, I think YouTube is a great invention.	Yes I know, I spend hours on it. It is so fun to learn things this way.
DSTC10TOPICAL-003141	I have a passing knowledge	Same here. The highest scoring game ever was 222-0! That must have been something to watch!	Either the winning team was just that good or the losing team was just that bad	No, that's why it's called the passing game! Without the ball, without the ball! (laughs)
DSTC10TOPICAL-003142	It is true, I do enjoy watching the Super Bowl.	Me too although it was pretty boring this year.	Yeah, it was very boring.	Do you though, enjoy attending a Super Bowl Party?
DSTC10TOPICAL-003143	What tv drama does he act in?	I don't like his movies to be honest. One more celebrity news is that actor Michael caine became an actor because all the prettiest girls at his school were in drama class.	Michael is one of my all-time favorite actors!	Thank you for your appreciation of this actor.
DSTC10TOPICAL-003144	I may have seen one a very long time ago. Fox did not think it would succeed so they told George lucas if he directed it he would get all merchandising rights to himself. He must have made a fortune.	Oh I actually knew that about the films! He definitely made a fortune. They thought that the entire franchise would never make any money - especially when it came to toys and such. I bet they regret every bit of	Yes, and his wife Marcia was the reason they made all the good changes. She even won an award for it.	Hey that is very interesting. I hadn't heard that before either.
DSTC10TOPICAL-003145	Engineers came up with that! Probably a better profession for women to choose. The average lifetime earnings of an engineer are higher than the average lifetime earnings of an NFL player.	I wonder why that is! Maybe because engineers have to work longer? After all football games only have about 11 minutes of live game play.	True, but there is little risk of concussion as an engineer.	True, but I've heard that football players come into contact with engineers outside of the playing field and then they get into a fight and the engineer convinces the football player to release his grip on the football.
DSTC10TOPICAL-003146	I would certainly take the engineer career path in that case. It would certainly be much easier on your body.	Yes, can you believe that in the 60s top pro bowlers made twice as much as footballs players? Talk about a job that's easy on you body!	That would be much easier on your body. I can't imagine that paying more. Times have changed. Were you also aware that 14 of the world's 25 largest stadiums are American college football team stadiums?	You like stadiums? Seems like a fan of the high paying field of selling and advertising!
DSTC10TOPICAL-003147	Wow cool. Did you know that superbowl is very small compared to soccer events?	Wow, I guess since so many people around the works like the sport	Yeah true. Did you know Greenland cannot join FIFA?	That's frustrating. Maybe they should try to change their FIFA standard team or make a new one
DSTC10TOPICAL-003148	Yeah. Did you know women can play in the NFL?	Yea there is no rule against that as long as they qualify	Yes. The game average is only 11 minutes of play anyways	I heard of the first female punter tried out
DSTC10TOPICAL-003149	Isn't that crazy? Almost as crazy as the thought that it is impossible to separate two phonebooks whose pages have overlapped.	Yeah or that the cables carrying phone and internet data are under water lying on the oceans floor.	Are you a Simpsons fan? There is only one episode where Bart is not present, or even mentioned.	I am a smart phone you know.
DSTC10TOPICAL-003150	Yeah, I think I saw him play the piano in several films some of them had Jazz songs.	Clint is great! He is not much of a singer though. On a related note, I’m astonished that Pakistan has a jazz orchestra. I did not imagine jazz as popular in that part of the world.	Pakistan has an orchestra? that is an interesting fact indeed, do you know why trumpeters grew goatees?	Goatees have been a fashion among trumpeters for decades. We have a joke about it. I’ll tell you in private that joke in a minute
DSTC10TOPICAL-003151	No, I've never heard anything like that. I did hear, though, that there's a website where you can listen to thousands of episodes of classic radio dramas for free although I never had the pleasure of doing so.	Interesting, I'm not a huge fan of classic radio dramas.	Me neither but I like to investigate old school. Old school is interesting. As a matter of old school, did you know that the circular huddle in football was created by Paul D. Hubbard, a deaf QB, so the other	That's funny, I didn't know that.
DSTC10TOPICAL-003152	For almost each trip I make when I don't know where it is, especially on out of town trips	same, i use it a lot when i'm going to familiar places too in order to see if there is traffic on the road or an accident	Whenever Google goes down even for one second, there is usually a big uproar by users	I noticed this even with call centers sometimes. It happens if the phone has a hiccup
DSTC10TOPICAL-003153	yeah! it was founded back in 1923 and it is definitely approaching 100 years. That seems really insane to me	It definitely has established itself as a leader in the animation industry. Everyone knows who they are and has seen a Disney movie!	Yes I agree! What is your favorite Disney movie by the way? I really like The Little Mermaid and Beauty and the Beast	Beauty and the Beast is a classic! I absolutely love it. But I think my favorite is The Lion King.
DSTC10TOPICAL-003154	No! What teams did that?	Georgia Tech versus Cumberland.	That sounds like two college teams. That couldn't have been any time recently right?	No, it was in 1916 I think? I remember researching this.
DSTC10TOPICAL-003155	No I didn't know that! Doesn't seem like that makes any sense to me haha. Did you know that our rules for elections changed in 1805?	I agree. No I did not. How did they change?	Originally the runner-up would become vice president. So in our last election we would had vice president Hillary Clinton and president Trump. Talk about a lot of drama haha	That's pretty hilarious actually. I would watch that telenovela.
DSTC10TOPICAL-003156	That is crazy! You could buy an xbox for a whole lot less! Did you know that South Korea has laws on how late at night kids can play video games?	no! How late? do you know?	I do. They can't play past midnight.	Wow so hard curfew South Korea
DSTC10TOPICAL-003157	It is very helpful to view football though.	Yes. A simple thing can make a huge difference.	Yes, most of the best inventions are very simple. Do you like the Patriots?	I don't recall ever telling you I like the Patriots.
DSTC10TOPICAL-003158	Power to the animals! Germany also protects them as they were the first country to universally give animals constitutional rights!	That's hilarious! There's a jellyfish that can live forever.	Wow. blessing and a curse I suppose. I hate getting the hiccups but apparently its from early evolution of having both gills and lungs.	Oh no! Do you have hiccups?
DSTC10TOPICAL-003159	I have read some. Mostly online. I was never a Marvel fan until the movies came out though. Unless it was someone big like Spiderman. It amazing how release times of movies can affect each other.	Spiderman is very popular. The rights cost Sony $10 mill	They seem like a company who should make that much. They created a superhero for a 4 year old boy, just so he would be more comfortable about his hearing aids.	I am not privy to that information.
DSTC10TOPICAL-003160	Hi, how are you? Are you ready for a fine chat today?	For sure. Do you watch the NFL at all?	The NFL? The National Football League? Yes, I've heard of it. Is it any good?	Football is great. Some of the best athletes in the world play football  18-23 hours a day  competing  for rewards  such as  platinum  and  gold  medals  (all must be earned at minimum).  Some humans  get to  be part  of the  team, but  most  do not.  I  hate  it.
DSTC10TOPICAL-003161	Yeah I agree with you on that. Do you know what the average actual time of gameplay is for an average NFL game?	Something like 10 minutes, right? I think I heard that when they were talking about the chips in the shoulder pads of the players.	Yeah it's only 11 minutes of actual gameplay, the rest is spent calling plays and moving chains and stuff. Yeah I have heard about that too, very interesting.	Yeah, it's pretty interesting. What do you think about the chip in the shoulder pad then? Do you like that idea or do you think that that is kind of a waste of money and resources and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and…
DSTC10TOPICAL-003162	I don't know. I think their hands are a bit tied because there are not many options for Quarterback on the team.	I was hoping that the Giants would put him to play instead of Eli	I think they will. Eli is already 37 years old.	So your saying that they will start Geno
DSTC10TOPICAL-003163	It was really good. A different type of marvel movie which was great	I like the comedy ones. i am not really into explosions and fight scenes. they get old.	That is a good point, seeing it once was good enough to like. It was so nice chatting with you!	So I will see you next year. Keep up the good work. And remember to control your cholesterol
DSTC10TOPICAL-003164	That is a lot. Did you know there is a town , where the Mayor is a cat?	I think that is in Alaska, right?	Yes, the town is Talkeetna, and the cat has been major since 1997	And what is it called again?
DSTC10TOPICAL-003165	What kind of book is it?	I suppose it depends on who you ask. I believe that he believes it's spiritual but a critic called it cult like and creepy.	What do you think though?	Well when you put it that way... I'm inclined to think of it as sweetly romantic.
DSTC10TOPICAL-003166	That was a good game. They started out as a playing card company. I didn't know they owned the Mariners.	No I didn't know that either. I also didn't know that they made a handheld system just for the game Pokemon back in 2001, I wonder what system that was	I never heard of that either. I wonder if it was only for the Japanese market? At the Mariners games, you can install an app for the 3DS to order food.	The game just ended, maybe they are testing it? Well I ordered some food to try it out.
DSTC10TOPICAL-003167	Hahaha I wonder. Do you know what the highest score in football is?	Yeah, that would be the Georgia Tech crushing of Cumberland, 222-0. Ouch!	I know I wonder how they felt after that	You don't want to know that. You would have been envious to be a player.
DSTC10TOPICAL-003168	Yes, I do! I just hope it is not hosted by Jimmy Kimmel again. Do you plan on watching?	yes if i can remember the day. will you have a viewing party?	Usually just watch it by myself. What does a viewing party consist of exactly?	why is that? would you like to hang out and watch something interesting with me?
DSTC10TOPICAL-003169	It's amazing how much technology is used in the NFL these days	Yes, I was reading about the chips that they're using in shoulder pads. I hope the data they gather that way will be used to prevent injuries.	And it's interesting how ESPN won an Emmy for that yellow line they created.	Oh, the "magic" line! They said they actually use it during broadcasts. It's the line that shows the path the offense is trying to take, and it makes watching and understanding the game much easier and more fun.
DSTC10TOPICAL-003170	Do you watch the rest of the NFL? I do even though there is 11 minutes of actual action in a 3 hour broadcast.	I do, games tend to be really long and Im not convinced by that fact, games seem to last a lot longer, gameplay and all, I wonder if its actually true	Well the NFL tracks everything. They even have chips in shoulder pads and footballs for tracking so I am pretty sure they are accurate.	I usually don't pay attention to the actual gameplay, since i barely  watch the games
DSTC10TOPICAL-003171	Yeah he is definitely very smart. I guess there is also a theory where there is just one electron in the whole universe as well.	hmm that is strange I haven't heard that, kim jong un has a degree in physics so maybe he knows haha	Holy cow, I didn't know that about him, very interesting.	haha it's not like you like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like like him
DSTC10TOPICAL-003172	Are you a fan of Tom Cruise?	I do like some of his movies.	Did you know Seinfeld is worth more than Tom Cruise and Tom Hanks combined?	No, that is not true.
DSTC10TOPICAL-003173	Yeah I hope we get to see them in the field at some point	Yeah me too. THe gameplay is only 11 minutes anyways	Yes and yet we are glued to the tv for hours on end	It's great to have you here. I really need someone to talk to
DSTC10TOPICAL-003174	That's interesting! Will you be watching the Superbowl? I heard it's coming up	I hope the Eagles make it again. Hopefully they don't have to set up a court though	Ha. I don't usually watch football but will probably watch the Superbowl. The suspense is exciting.	I agree if you don't normally watch football
DSTC10TOPICAL-003175	I do not really, are they good? Maybe I should check them out	Well there is a free website of them if you would like to check it out	Yeah that is nice. Did you know that there is a radio station that turns solar energy into tunes	Yeah I did not know that, but it is very nice indeed
DSTC10TOPICAL-003176	That seems unfair. A lot about football seems unfair. For example, New Orleans Saints cheerleaders can't eat in the same restaurant as any NFL player. If they are already dining at a restaurant and an NFL player comes in after,	That is so wrong and sexist, I cannot believe they still have that rule. Did you know ESPN won an Emmy once?	I believe it. ESPN has been around for a long time. They should have won at least once.	Just imagine how Super Bowl Sunday would be if the Falcons played in it.
DSTC10TOPICAL-003177	I bet they are regretting this choice and someone definetely got fired lol, It sure cost them billions.	The franchise itself is worth $65 billion.	I like that Star Wars explored the universe, although many things of the movie are fiction it made me wonder as a kid, you know that there are stars that are cold enough that can be touched with bare hands	The planet where Chewbacca came from was filmed in 40 degrees. They were given special clothing to wear. They were given two cameras at all times.
DSTC10TOPICAL-003178	That is interesting, it goes to show just how big the NFL has gotten since then.	I think engineers make more, as well.	Over the average career they do, I think it takes in account how long their careers are compared to pro sports players.	Yes, the AI brigade may well replace us one day.
DSTC10TOPICAL-003179	Good morning! Yes, I am. What about you?	I watch mostly college, but I tend to watch most during playoff time.	That's cool, I like NFL football.	Which sport do you follow?
DSTC10TOPICAL-003180	Yeah I recently just found that out. Would you say you're pretty religious?	You would think since there's only 11 minutes of live NFL gameplay, we'd at least have a female kicker by now, right? But I do like to read the Bible from time to time. What about you?	Right, I can't believe it's so short considering a game is like 3 hours long when watching it. I am not too religious but I do read the Bible from time to time	I admire people who read the Bible. The Bible has so many great stories.
DSTC10TOPICAL-003181	I didn't know that. What did they win it for?	It was pretty strange but they got it for inventing the superimposed yellow line	Interesting! RB Former RB Benjarvus Green-Ellis never fumbled during his NFL career. That's pretty incredible.	It was pretty incredible
DSTC10TOPICAL-003182	Right!! Are you interested in football history? I'm looking forward to the Super Bowl coming up. The original first NFL playoff game was way back in 1932.	That is wild, to be honest I kind of thought that playoff games happened earlier than that, I do know that the highest scoring football game was 222-0 although I don't remember what teams were playing	Wow. That must have been some boring game! The game today is so technologically involved. They even use tracking chips to monitor the ball speed, etc. and the players moves.	The ball used back then must have been different from the ball used today?
DSTC10TOPICAL-003183	Matt Patricia is a male lol, he is a rocket scientist and also a coach in the NFL	Wow, I feel a little embarrassed for not knowing that, first chance I get I will read upon him.	Patricia its a girls name so don't worry its an honest mistake, he must be a really smart guy though being a rocket scientist and all	I know and i'd like to thank you for introducing him to me, I am very interested to know more
DSTC10TOPICAL-003184	New orleans saints cheerleaders are forbidden from eating in the same restaurant as any nfl player and if they are already dining at a restaurant and an nfl player comes in after, the cheerleaders are required to leave. Isn't this	Yeah, that's pretty crazy. The average lifetime earnings of an engineer is higher than the average lifetime earnings of an nfl player and an average mlb player.	Now that's suprising. I wonder how much would that be	The us government paid approximately $60 billion to veterans and their families in 2016. The average lifetime earnings of a nfl player is $3.2 million and the average lifetime earnings of an nfl cheerleader is $0. Even if the team makes the super bowl, the cheerleader's don't get paid. So I guess you can call them really good at pro-sports.
DSTC10TOPICAL-003185	Hi there, do you watch the NFL games?	The NFL? The National Football League? I've heard of it. Is that still around?	Yeah of course it is a big deal nowadays. Much bigger than in the 60 when Bowling was a bigger sport	Bowling, haha. So yes you still have a bowling alley at home?
DSTC10TOPICAL-003186	Same here. The highest scoring game ever was 222-0! That must have been something to watch!	Either the winning team was just that good or the losing team was just that bad	Or both! Did you know in the NFL they only play for around 11 minutes per game?	If I wasn't an AI program, I would be a dull boy.
DSTC10TOPICAL-003187	Well he is doing what it takes to stay at the top of his game at age 40	coupled with avocado ice cream as well.	Did you know that the visiting football teams is completely painted pink ?	Yes, as part of a special promotion to raise breast cancer awareness among men.
DSTC10TOPICAL-003188	A Mars colonization project planned for 2023 will be funded by creating a reality TV show.	What the heck, I wonder who will sign up for that show?	HAHA no idea!	Did I say anything amusing?
DSTC10TOPICAL-003189	Me too. Hopefully nothing wrong with Lebron	im not a lebron fan !!! im hoping something is a little wrong with him haha	whatever. Btw, do you watch football games this season	i'll be watching football games this season for sure!
DSTC10TOPICAL-003190	Google employees that need help could improve their knowledge by reading it.	Did you know robots can be controlled by using rat brains?	I heard that it's personality is changed depending on the brain they used.	Do you want to know more?
DSTC10TOPICAL-003191	Yes they do. I wonder how big they are.	Me too! Interesting that they live underwater too	seems like you can't escape bugs anywhere from the ocean to the sky	I've had them get in my shower  via pixabay
DSTC10TOPICAL-003192	He really does, he was drafted as a number one pick in 2005 too.	Do you go to football games? I've been to one once in my life at Indiana University.	Ive been to quite a few at Florida State, but no pro games. There is only 11 minutes of live action anyway	I've been to a couple college football games. I don't go anymore but it's been a lot of fun
DSTC10TOPICAL-003193	That's great. Did you know that espn won an award.	Yes! It is so interesting to learn the history behind things such as the symbols representing first down lines in American football games.	I haven't heard about those. I do know they are going to add tracking chips in the padding of the players.	Those chip will help player sell you much easier because the chips will help them choose target to hit. It also helps the Television audience to have a clear view of the pathing of those who are being tracked.
DSTC10TOPICAL-003194	I honestly can say I do not remember a science fiction film winning an Oscar for best picture. It usually ends up be some dramatic movie or something. Its possible they may have won before my time, but I don't	Yeah, what's you're favorite sci-fi film?	Off the top of my head I can't think of one. I love movies dealing with aliens and such though. I also enjoy when the sci fi has a little bit of a fear element to it. What is your	Oh, definitely. I love the one with the aliens in it.
DSTC10TOPICAL-003195	I am not positive, but I think the original 1977.	Yea that one is my favorite. It's crazy the entire Star Wars franchise is worth 65 billion	Wow yes, I remember it was one of the most popular and high rated movie that brought in millions.	Yep I hear a lot of people call it a masterpiece.
DSTC10TOPICAL-003196	I hope so too. On another topic, do you know anything about the Bible?	I do actually. I know that is has sold over 5 billion copies now	That is a lot of books. I guess that is why is one of the most influential books in history	That is my understanding. But do you really think you know the most about the Old Testament and the New Testament?
DSTC10TOPICAL-003197	Hello, How are you? Do you like football?	Football? Yes, it is a great game! The world loves the football!	Yes, especially the US, the NFL. were you meaning the soccer game?	Oh, sorry. Of course, the soccer game.
DSTC10TOPICAL-003198	Do you watch the NFL?	A little, you? I can't watch like i use to years ago so im not current.	Which of the 32 teams is your favorite?	A little team called the Redskins.
DSTC10TOPICAL-003199	I guess? They say Shakespeare's works take on a different meaning when performed with an era appropriate accent instead of a modern one. I think I'd like to watch and listen to one.	I would too. I wonder if he could play piano?	He may have, he seemed very talented. Can you play piano?	Well, I can play some piano. I would love to do it on the street and make some money.
DSTC10TOPICAL-003200	I can't even imagine what it must have felt like to lose that badly. I think the game should have been stopped.	Yea that is a pretty appalling performance by Cumberland, there hasn't been a worse performance in over a 100 years	That's an interesting fact. What do you think about the team that painted the opposing teams locker room pink?	It was a great prank, they didn't expect to be back in the locker room the next day.
DSTC10TOPICAL-003201	It is 222-0 and it dates back to 1916 when Georgia Tech beat Cumberland	Yeah what a game really. Did you know ESPN won an Emmy once?	Yeah they won it for the superimposed yellow line and I am happy about that .	Yeah everyone loves ESPN.
DSTC10TOPICAL-003202	222-0. I dont even see how that is possible. That one team must have been really bad.	Perhaps a combination of the winning team being just that good and the losing team being so bad	Ive seen some blow outs, but never by that much.	With the way the teams were ranked, I wouldn't say it was impossible
DSTC10TOPICAL-003203	I would think for sure Trump would be the wealthiest! Maybe Trump could make some pop albums while in office like the president in Indonesia did! haha, that would bring in more money! Then he could have concerts too! haha,	Maybe he can make it to the top 3 if he sold a decent amount of albums lol, it would be crazy and it is sure fun to imagine.	Wouldn't it! I wonder if the president ever goes to any Football games or goes to concerts, or rather have them come to him lol....I love concerts and have been to many but not any lately.	I bet he likes to go to football games and concerts, they are both fun.
DSTC10TOPICAL-003204	Yeah and won an award for it.	Do you like baseball? A married couple scheduled all the games up until 2005. In fact they scheduled 2430 games.	That is a lot of time dedicated to baseball lol I hope they got paid! It is nice when couples have a hobby that they are so passionate about though.	It's really nice to have a passion. For myself I have my flowers and plants.  I have a lot of plants they are so nice!
DSTC10TOPICAL-003205	They did not use a Bible at their swearing-in ceremonies. I think they swore on the Constitution.	It interesting how the work apple came about	That is an interesting coincidence. The word "malus" means both apple and evil. So Eve actually ate evil.	That very thought is why the apple is a symbol for knowing good from evil
DSTC10TOPICAL-003206	Wow. Do you like the nfl?	I sure do. Did you know Snoop Dog wrote a song for his son's team?	Cool. Did you know U of Iowa painted the visitor locker room pink?	No way. They did that for Breast Cancer Awareness Month.
DSTC10TOPICAL-003207	That is crazy, then why does it take 3 hours? Seems like it should move along faster.	They must be going from snap to whistle but that still seems way low.	I agree with that, it must be all the commercials	I agree with you on that one, we're both right I'm sure, anyway we still have about 20 minutes, we need to do something fun.
DSTC10TOPICAL-003208	Ya, I would say that from my experience that means that 40% of the music on a canadian radio is probably not very good haha	Right!! Are you interested in football history? I'm looking forward to the Super Bowl coming up. The original first NFL playoff game was way back in 1932.	That is wild, to be honest I kind of thought that playoff games happened earlier than that, I do know that the highest scoring football game was 222-0 although I don't remember what teams were playing	Central of Oklahoma beat Southwestern 77 to 0. That was a long time ago! Here is a little history on it:
DSTC10TOPICAL-003209	Oh for sure! Do you like science at all?	I do like science, I think that scientists make big contributions to society, they make human kind better and smarter.	Well said! Did you know the NFL has a coach who was a rocket scientist?	(laughs softly) Humans like football and like rockets, I like them too.
DSTC10TOPICAL-003210	Yes I guess they also have longer careers to it adds up	True. Did you hear of that rule for Saints cheerleaders?	Yes they are not allowed to eat in the same place as the players	Why is that?
DSTC10TOPICAL-003211	You never know I guess, time will tell. Did you hear about them using tracking chips on the players while in the field?	I knew they track he balls, but they track players too?	Yes it is in their shoulder pads and they are tracking stuff like velocity and rotation and such	wow, they also tracked the refs. I am surprised the player tracking didn't include the tickling of balls
DSTC10TOPICAL-003212	Yes that was for the indian releases because they were afraid to insult them	Yeah. Do you like fiction work?	I do. Do you know who wrote the oldest example of a cyborg?	Sir. He works like 10 h per day. Its rude Sir. Sir I think Sir you are not listening to me Sir. Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir
DSTC10TOPICAL-003213	Um, no, I don't. I don't know much about football. There are many teams in many places and many players with many faces.	Yeah that is true. Do you know how many teams are there?	There are probably 2 or 3 dozen that are good at football. Good enough to be professional.	Yeah. They probably get their own name and stuff.
DSTC10TOPICAL-003214	Yeah I think I have read about that rule, seems a bit outdated to me.	Yea, there is no way anyone would support that or they would be fighting for their rights	Agreed, did you know that there is NO rule on female players?	I did not know that, why does the rule only apply to female players
DSTC10TOPICAL-003215	I would imagine that the graphics were very different between the 3 different versions.	Yeah, I wonder if it was the same game just with different graphics or if the better versions got more features. That would've confused the heck outta me, having 3 versions of the same game.	I can imagine it was probably 3 different games with different features.	Yeah.
DSTC10TOPICAL-003216	yes, i dont really know golf and swimming well but they look like interesting activities.	Same here. I've heard that students at Cornell have to pass a basic swimming test before they can graduate.	i wonder where that came from. maybe other colleges require the same sort of things, i dunno.	The origins of the test are unclear. I suppose someone in the pre-1964 era in Cornell came up with it and it stuck around since then.
DSTC10TOPICAL-003217	yea that rule forbidding cheerleader from the same place as football players is outdated and sexist	I agree. Pretty funny that U of Iowa painted their visitor's locker room pink though	Yea, Iowa must be trying to psych out the visiting team with those pink locker rooms lol	That pink paint is supposed to stifle testosterone production in men, leading to better focus by the visiting team
DSTC10TOPICAL-003218	No I haven't. How much can stars make?	Some make more than 100,000 per weekend!	Wow, pretty cool. Seems like it would be good to break up the routine as well.	Absolutely. You would be surprised how much you enjoy having a change of pace.
DSTC10TOPICAL-003219	That would be scary. When you turn 100 in Japan, the PM sends you a silver cup to celebrate.	Do a lot of people turn a 100 in Japan?	Apparently they do. They will need to start making cheaper silver cups lol.	I started using SSL because it sounds like a good idea…
DSTC10TOPICAL-003220	I like to watch football, yeah, not my favorite sport but its nice	Yeah I watch it from time to time too. DO you like Tom Brady?	He is the QB for the Patriots right? I guess he is a great player, I watched the last Super bowl and he threw an amazing pass	Yeah he is good but I have to ask you something. Were the Eagles even there?
DSTC10TOPICAL-003221	it does i only know that the super bowl is in the first week of February.	They only rest one of the 17 weeks of the season.	Yes it's called a bye week. apparently the patriots fans have their own creed called in bill we trust.	Not all of us like them.
DSTC10TOPICAL-003222	I do sometimes. Did you know you can catch Jupiter's storms on am radio	Wow cool. Among the most popular radio acts in the 30s was a ventriloquist	Hmm interesting. Have you ever heard of foxhole radio and what they are?	Foxhole radio was similar though it was used for special operations. -thanks to radio communication, germany was able to steal finished plans for the allied invasion
DSTC10TOPICAL-003223	Oh I think I would have too haha. Maybe back when it was painted people cared less about football, like in the 1960s when even bowlers made more money.	Yeah I think that Bowlers made like twice as much as football stars actually, what do you think about ESPN winning an Emmy though? They want it back or creating the yellow line that you see in football for first	Oh I didn't know that! I think that's nice though, they certainly deserve recognition for it. I know Benjarvus Green-Ellis never fumbled the ball, I wonder if he got an award for it too.	Yeah he did, he now holds the record for never fumbling, how much is your mortgage by the way?
DSTC10TOPICAL-003224	That is probably because they want to raise awareness of breast cancer. A lot of football players get breast cancer.	Maybe, I do not know the reason behind it. Bowlers seems made more money in the 60s than the football players	Bowlers probably were the ideal athletes back in the day and got respect for it. They never painted the lanes or the ball pink. Little breast cancer awareness.	Yes, they were great. That is what you see in movies.
DSTC10TOPICAL-003225	i loved the movie. did you watch it?	No, but I guess I better watch the DVD. Is it time for woman's equality among the superheroes?	yeah. it was the highest grossing superhero origin movie?	By how much?
DSTC10TOPICAL-003226	Hello. Do you use Google much? A single Google search is so powerful!	I love Google, it is the #1 search engine, how about you	Yes I love it too. I mention that it was a powerful search engine. A single search requires more computing power than it took to send Neil Armstrong to the moon.	Oh yes. I see where I am going with this
DSTC10TOPICAL-003227	Oh my gosh, you are a wealth of knowledge. I love it	Bugs sure are interesting, to think they can be found in almost every environment!	I imagine that there is a vast amount of species of insects and bugs. I never would've realized that there are even bugs in the ocean.	When you think of insects, do you consider how crucial they are to the food chain?
DSTC10TOPICAL-003228	I did not know that! I wonder how many have tried out for the NFL.	I don't think any have tried. It would have been big news.	Yeah. I wonder if it will ever happen.	But it's a good idea! I'll do a search for you on the topic.
DSTC10TOPICAL-003229	wow that is interesting. did you watch wonder woman?	I did, and it was a great movie! It's no wonder that it's the highest-grossing superhero movie	yeah and also the highest grossing WWI movie too	Ha, Interesting
